Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
43082075,Alter,Jeremy Robinson,"Robinson, Jeremy",,"=""""","=""""",0,4.20,Breakneck Media,Kindle Edition,,2018,,,2019/07/26,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""0393356183""","=""9780393356182""",3,4.09,W. W. Norton & Company,Paperback,301,2018,2017,,2019/07/26,,,read,,,,1,,,0,,,,,
10552338,Reamde,Neal Stephenson,"Stephenson, Neal",,"=""0061977969""","=""9780061977961""",3,3.97,William Morrow,Hardcover,1044,2011,2011,2019/07/24,2019/07/13,,,read,,,,1,,,0,,,,,
11607,The Running Man,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451197968""","=""9780451197962""",4,3.86,Signet,Paperback,317,1999,1982,2019/07/13,2019/07/09,,,read,,,,1,,,0,,,,,
11527504,A Little History of Philosophy,Nigel Warburton,"Warburton, Nigel",,"=""0300152086""","=""9780300152081""",5,4.12,Yale University Press,Hardcover,252,2011,2011,2019/07/12,2019/07/08,,,read,,,,1,,,0,,,,,
23995360,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,"Tetlock, Philip E.",Dan Gardner,"=""0804136696""","=""9780804136693""",5,4.09,Crown,Hardcover,352,2015,2015,2019/07/08,2019/07/05,,,read,,,,1,,,0,,,,,
12974372,"A Natural History of Dragons (The Memoirs of Lady Trent, #1)",Marie Brennan,"Brennan, Marie",,"=""0765331969""","=""9780765331960""",3,3.84,Tor Books,Hardcover,334,2013,2013,2019/07/05,2019/07/02,,,read,,,,2,,,0,,,,,
40389527,The Woman in the Window,A.J. Finn,"Finn, A.J.",,"=""""","=""""",5,3.94,William Morrow,Kindle Edition,449,2018,2018,,2019/07/02,,,read,,,,1,,,0,,,,,
36124936,The Outsider,Stephen King,"King, Stephen",,"=""1501180983""","=""9781501180989""",3,4.02,Scribner,Hardcover,561,2018,2018,2019/07/02,2019/06/25,,,read,,,,1,,,0,,,,,
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",4,4.26,Crown Publishing Group (NY),Hardcover,329,2019,2019,2019/07/02,2019/06/12,,,read,,,,1,,,0,,,,,
41160292,Exhalation: Stories,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.38,Knopf,Kindle Edition,352,2019,2019,,2019/06/25,,,read,,,,1,,,0,,,,,
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",4,4.27,HarperPrism,Paperback,293,1997,1988,2019/06/23,2019/06/01,,,read,,,,1,,,0,,,,,
46146065,"All Gifts, Bestowed: An Artificial Intelligence Thriller",Joshua Gayou,"Gayou, Joshua",,"=""""","=""""",3,3.82,Aethon Books,Kindle Edition,428,2019,,,2019/06/23,,,read,,,,1,,,0,,,,,
35429993,"Fall, or Dodge in Hell",Neal Stephenson,"Stephenson, Neal",,"=""0062458736""","=""9780062458735""",3,3.67,William Morrow & Co,ebook,896,2019,2019,2019/06/12,2019/06/11,,,read,,,,1,,,0,,,,,
