eventID,AfterInhMATRIX5,PrescaleMATRIX5,RawMATRIX4,RawTriggers,label
430001,27094,12,1598521,10759045,2
430002,34901,14,1670878,11813291,3
430003,36317,15,1675869,12002554,3
430004,34088,14,1637602,11564482,3
430005,27489,12,1587623,10627391,4
430006,32611,13,1625900,11321213,5
430013,20382,9,1639926,8769456,2
430014,23758,9,1651980,9401959,1
430015,24693,11,1612326,9518723,1
430016,16762,7,906480,6009644,1
430017,17730,7,1011788,6460223,1
430018,28322,12,1535705,10288666,1
430019,30247,12,1651894,11103506,1
430026,35260,15,1519402,11437323,3
430027,35336,14,1643279,11930577,3
430028,23979,10,1530314,9731520,4
430029,29566,13,1661413,10808942,5
430030,29623,12,1692261,11038836,6
430031,27556,11,1599086,10282025,7
430039,30138,13,1637681,11146479,1
430040,31750,13,1717651,11537781,1
430041,31026,13,1689650,11307768,1
430042,32485,13,1686568,11523073,1
430043,31222,13,1664937,11189133,1
430044,30990,13,1665219,11291918,1
430045,31957,13,1651731,11636680,1
430046,33026,14,1703088,11828744,1
430047,28386,12,1612684,10955062,2
430048,34403,14,1688729,11743823,3
430049,35685,15,1648888,12058037,3
430050,35525,14,1680056,11782767,3
430051,26868,12,1637842,10658046,4
430052,34024,14,1705640,11799606,5
430053,32047,13,1667063,11467762,6
430054,29860,12,1704913,11008929,7
430055,31117,13,1670049,11389351,6
430056,26138,11,1668131,10534179,4
430057,33233,14,1674350,11422298,3
430058,33395,14,1730135,11364516,3
430059,25346,10,1617844,10287592,2
430060,31163,13,1670141,11310845,1
430061,29054,12,1698480,10867425,1
430062,29652,12,1671145,10862203,1
430063,28905,12,1687662,10753466,1
430064,29307,12,1660920,10783303,1
430065,27916,12,1645149,10402364,1
430066,28125,12,1714215,10613681,1
430067,27969,11,1679240,10502788,1
430068,26954,11,1732681,10504974,1
430069,26745,12,1806311,10582557,1
430070,22783,9,1669803,9758339,2
430071,31647,13,1725025,11255804,3
430072,31462,13,1740210,11201046,3
430073,31816,13,1789169,11238345,3
430074,24821,11,1650978,10227565,4
430075,32051,13,1605366,11228669,5
430078,29925,12,1673155,11064875,6
430079,25389,11,1625591,10391941,4
430080,33115,14,1717763,11422582,3
430081,31379,13,1640586,10972434,3
430082,23223,9,1546846,9725581,2
430083,26141,11,1631710,10044812,1
430084,24745,10,1625267,9776878,1
430085,27130,12,1630099,10266460,1
430088,28280,11,1677115,10449453,1
430089,28472,12,1616062,10613476,1
430090,28460,12,1678520,10606860,1
430091,30349,12,1635061,11121246,1
430092,30429,13,1629688,11052207,1
430093,25946,11,1583763,10265624,2
430094,33744,14,1649411,11352411,3
430095,32167,13,1650038,11057442,3
430096,31085,13,1678592,11042137,3
430097,24721,10,1529329,10080220,4
430098,29300,12,1692044,10792192,5
430099,28391,12,1653495,10701496,6
430100,28253,12,1609194,10598077,7
430101,29296,12,1663373,10735225,6
430102,26672,11,1589134,10538092,4
430103,33878,14,1676200,11419024,3
430104,32320,13,1715883,11177102,3
430105,26819,11,1585984,10693591,2
430106,30410,13,1619043,10901691,1
430107,28963,12,1583639,10698458,1
430108,31975,13,1613129,11288127,1
430109,32599,14,1484550,11165500,1
430110,29568,12,1538385,10723968,1
430111,31233,13,1563463,11070463,1
430112,29143,12,1585565,10732916,1
430113,29818,12,1476164,10644647,1
430114,30568,13,1600538,10985678,1
430115,31524,13,1519154,11112459,1
430116,27433,11,1469472,10376599,2
430117,33984,15,1733736,11696082,3
430118,36789,15,1612485,11968975,3
430119,34219,14,1655866,11552686,3
430120,27141,11,1598137,10676478,4
430121,31947,14,1628365,11197196,5
430122,30370,12,1605683,10984280,6
430123,29155,12,1650477,10844212,7
430124,29858,13,1711425,10972024,6
430125,26022,10,1639033,10497217,4
430126,32799,14,1676038,11375886,3
430127,34568,14,1710820,11723284,3
430128,27646,12,1582602,10757273,2
430129,30544,12,1716732,11427783,1
430130,30895,13,1681898,11262010,1
430131,31153,13,1699445,11321510,1
430132,32972,14,1629844,11592329,1
430133,32305,13,1657382,11425858,1
430134,31498,13,1688087,11522322,1
430135,30567,13,1670596,11054283,1
430136,31276,13,1701587,11487510,1
430137,31732,13,1660547,11471970,1
430138,30327,12,1682750,11054634,1
430139,26691,11,1676119,10623517,2
430140,34329,15,1730186,11627571,3
430141,34755,14,1682111,11711528,3
430142,35478,15,1663747,11777071,3
430143,28167,11,1529873,10809510,4
430144,33296,14,1657199,11571193,5
430145,31114,13,1604529,11219636,6
430146,29225,12,1749209,10957651,7
430147,31012,13,1629726,11199946,6
430148,24669,10,1500352,9968504,4
430151,27791,12,1558073,10890045,2
430152,32837,13,1677393,11608574,1
430153,29796,12,1630638,11030395,1
430155,28593,12,1684403,10739638,1
430156,28706,12,1705693,10826303,1
430157,27273,12,1739834,10650469,1
430172,33023,14,1693368,11363256,3
430173,35216,14,1636413,11765088,3
430174,27287,12,1588444,10699395,2
430175,30135,12,1541886,10869061,1
430176,31628,13,1521493,11218412,1
430177,31148,13,1589360,11099375,1
430178,31949,13,1628627,11180966,1
430179,31665,13,1695235,11380150,1
430180,31960,14,1693529,11692346,1
430181,31021,12,1651987,11104564,1
430182,32544,14,1578905,11304381,1
430183,32554,13,1669142,11565170,1
430184,32788,14,1686409,11550022,1
430185,28000,12,1597261,10972288,2
430186,36649,15,1729507,12138520,3
430187,36534,15,1608853,12150517,3
430188,36137,15,1671057,12167286,3
430189,28499,12,1592285,11024880,4
430190,32707,13,1676383,11504529,5
430191,31791,13,1676698,11570601,6
430192,29809,13,1680316,11025872,7
430193,31016,13,1656069,11143753,6
430194,28558,11,1614020,11009624,4
430195,34884,15,1664981,11757552,3
430196,34277,14,1704255,11875078,3
430197,26976,11,1556252,10598269,2
430198,31476,13,1658386,11428820,1
430199,31386,13,1605174,11296741,1
430200,32182,14,1649303,11544317,1
430201,32342,13,1601082,11380036,1
430202,32253,13,1644487,11552094,1
430203,31745,14,1686328,11455215,1
430204,29916,12,1662234,10988722,1
430205,29083,12,1732411,10791416,1
430206,28288,12,1718508,10840836,1
430207,29259,12,1736407,10942002,1
430208,22781,9,1645817,9806052,2
430209,32444,14,1732219,11280163,3
430210,31922,13,1698503,11235726,3
430211,33989,14,1615119,11370791,3
430212,25319,10,1604983,10412881,4
430213,31548,14,1707438,11357822,5
430214,29927,12,1682538,10883990,6
430215,30594,13,1702542,11276704,7
430216,32281,13,1649318,11338873,6
430217,27344,11,1657386,10947937,4
430218,33467,14,1619635,11399310,3
430219,34505,14,1668657,11669216,3
430220,26666,11,1589186,10643468,2
430221,30542,13,1629120,11236664,1
430222,31653,13,1648183,11345332,1
430223,31720,13,1681332,11486785,1
430224,31667,13,1670544,11624403,1
430225,33131,14,1629364,11588311,1
430226,33418,14,1608344,11587577,1
430227,30940,13,1622467,11149046,1
430228,30243,12,1614450,10944730,1
430229,30059,13,1680578,10964482,1
430230,31379,13,1727003,11463246,1
430231,27621,11,1644504,10908359,2
430232,34956,15,1654908,11701703,3
430233,35543,14,1649456,11879366,3
430234,34617,15,1651232,11903229,3
430235,27573,11,1542823,10731426,4
430236,33233,14,1711510,11816999,5
430239,29032,12,1677863,10907728,6
430240,24125,10,1586486,9971061,4
430241,31475,13,1687825,11239121,3
430242,34099,15,1655663,11501173,3
430243,26168,10,1653112,10689456,2
430244,29657,13,1660862,10860666,1
430245,29675,12,1644596,10966301,1
430246,28949,12,1612518,10575323,1
430247,29019,12,1671696,10813276,1
430250,27980,11,1605686,10482260,1
430251,28238,12,1594352,10439604,1
430252,28320,12,1506476,10369514,1
430253,30587,12,1611638,10909620,1
430254,26205,11,1595027,10575407,2
430255,34214,14,1607222,11370761,3
430256,36944,16,1666172,12093990,3
430257,36302,15,1637055,12067542,3
430258,28466,11,1538211,10918281,4
430259,32826,14,1668236,11710526,5
430260,31961,13,1644789,11402651,6
430261,29175,12,1604902,10727273,7
430262,30680,13,1585304,11064107,6
430263,26393,11,1537830,10325278,4
430264,35791,15,1607506,11787353,3
430265,36094,15,1647221,12011863,3
430266,28469,11,1497917,10785230,2
430267,31927,14,1600429,11373640,1
430268,31379,13,1611101,11216703,1
430269,33084,13,1599715,11617988,1
430270,31658,14,1663282,11332497,1
430271,31877,13,1638157,11384510,1
430272,30782,12,1618131,11078340,1
430273,30743,13,1616658,11169743,1
430274,30232,13,1713525,11135512,1
430275,28586,12,1654282,10585126,1
430276,30571,12,1610013,11043582,1
430277,25812,11,1513140,10304188,2
430278,34005,14,1432402,10832600,3
430279,33767,14,1469465,11127277,3
430280,33778,14,1587636,11344232,3
430281,25478,11,1320888,9737157,4
430282,29857,12,1379623,10411821,5
430283,29538,12,1421180,10451411,6
430284,27011,11,1429379,9950121,7
430285,30534,13,1424241,10636216,6
430286,26131,11,1374123,10117592,4
430287,33136,14,1507595,11274451,3
430288,32351,13,1494227,10947136,3
430289,24800,10,1373018,9722991,2
430290,28385,12,1468202,10237739,1
430291,30288,12,1426047,10458133,1
430292,30705,13,1463378,10786871,1
430293,30613,13,1491695,10763280,1
430294,29098,12,1496732,10492429,1
430295,30468,13,1460531,10716901,1
430296,28576,11,1514010,10619717,1
430297,30374,13,1456295,10739226,1
430298,28912,12,1510258,10578237,1
430299,29333,12,1399645,10469461,1
430300,25282,11,1407585,9877277,2
430301,32048,13,1560978,11190459,3
430302,33845,14,1565505,11344742,3
430303,33190,14,1408640,11010378,3
430304,27182,11,1406889,10287016,4
430305,30166,12,1497600,10738973,5
430306,28192,12,1531732,10329106,6
430307,26810,11,1521048,9898093,7
430308,28570,12,1467698,10274109,6
430309,25858,11,1444421,10104150,4
430310,32697,13,1521929,11020598,3
430311,32109,14,1474434,10766125,3
430312,24666,10,1407190,9778624,2
430313,29474,12,1501481,10782185,1
430314,31065,13,1439749,10915168,1
430315,29595,12,1480560,10524641,1
430316,30352,13,1403316,10528465,1
430319,30506,12,1359432,10637312,1
430320,31180,13,1434788,10930948,1
430323,26378,10,1438216,10146058,2
430324,32389,14,1470902,10793678,3
430325,33004,14,1543329,11099498,3
430326,34233,14,1502587,11353613,3
430328,28257,11,1522979,10181913,5
430329,28168,12,1489977,10265574,6
430330,28710,12,1429355,10285846,7
430331,29636,12,1505316,10534769,6
430332,25097,11,1455977,10004746,4
430333,32775,13,1522868,11119275,3
430334,32495,14,1454573,10827515,3
430335,24544,10,1346739,9547898,2
430336,28361,12,1490029,10308980,1
430337,29444,12,1455768,10362726,1
430338,28700,12,1490225,10465010,1
430339,29568,12,1471215,10480856,1
430340,29073,12,1499708,10555919,1
430341,29350,12,1434095,10452884,1
430342,30174,12,1359185,10532940,1
430343,29514,13,1456503,10669160,1
430344,29636,12,1449308,10588851,1
430345,28454,12,1487673,10280885,1
430346,27174,11,1382266,10121608,2
430347,33745,14,1419536,11021265,3
430349,35719,15,1514770,11513674,3
430350,25214,10,1433010,9900193,4
430351,30758,13,1504967,10780816,5
430352,29134,12,1493170,10554959,6
430353,28015,12,1532967,10187587,7
430355,24991,10,1363776,9763179,4
430356,33226,14,1515081,11059600,3
430357,33234,13,1422338,10961879,3
430358,23933,10,1377019,9532594,2
430359,28290,12,1509652,10210513,1
430360,29521,12,1523858,10754323,1
430361,29965,13,1481311,10658521,1
430362,29559,12,1462312,10541728,1
430363,27635,11,1503650,10144421,1
430364,26191,11,1473561,9794228,1
430365,26246,11,1472253,9737475,1
430366,26150,11,1527009,9898376,1
430367,26997,11,1468903,10057366,1
430368,26912,11,1535607,10020637,1
430369,22908,10,1425393,9404755,2
430370,30375,12,1487454,10531769,3
430371,31831,14,1545789,10821803,3
430372,30778,12,1544234,10581529,3
430373,23933,10,1428838,9640979,4
430374,30244,13,1479205,10700159,5
430375,29600,12,1458031,10624063,6
430376,28726,12,1483464,10393350,7
430377,29282,12,1457911,10610602,6
430378,25159,10,1416011,9967402,4
430379,33373,14,1492726,11100510,3
430380,30231,13,1512897,10616571,3
430381,24515,10,1384169,9559597,2
430382,26671,11,1456047,9825729,1
430383,25691,11,1474107,9630298,1
430384,27217,11,1495884,10015981,1
430385,27970,11,1417192,10054081,1
430386,29048,12,1490417,10509187,1
430387,30085,13,1410674,10556260,1
430388,30757,13,1439908,10897805,1
430389,29803,12,1484105,10690142,1
430390,28944,12,1508901,10483993,1
430391,29519,12,1428259,10382267,1
430392,25638,11,1421149,9993782,2
430393,32889,13,1502630,10931827,3
430394,31868,14,1476790,10744992,3
430395,32497,13,1568585,11098581,3
430396,26032,11,1377926,10021767,4
430397,31413,13,1465352,10901989,5
430398,29310,12,1442647,10425717,6
430399,28419,12,1467500,10360365,7
430400,29662,12,1436883,10693174,6
430401,26894,11,1375045,10238030,4
430402,33619,14,1449722,10973690,3
430403,31132,13,1520438,10831830,3
430406,28088,11,1440431,10108592,1
430407,28079,12,1443190,10147021,1
430408,29518,12,1464150,10379984,1
430409,29039,12,1473221,10503865,1
430410,28657,12,1472514,10324242,1
430411,28694,12,1397593,10328134,1
430412,29232,12,1437657,10451087,1
430413,30523,12,1418762,10582445,1
430414,29080,13,1461281,10552301,1
430415,25825,10,1380541,9976288,2
430416,34261,14,1447391,11077520,3
430417,35323,15,1395183,11310595,3
430418,32808,14,1499288,10941387,3
430419,23882,10,1433831,9508378,4
430420,27635,11,1458254,9870588,5
430421,27946,12,1504817,10136173,6
430422,28040,11,1522482,10380899,7
430423,28674,12,1416150,10341943,6
430424,25492,11,1414734,10017710,4
430425,33950,14,1433763,11302816,3
430426,32427,13,1436968,10844536,3
430427,23180,10,1454881,9423886,2
430428,29590,12,1437321,10408522,1
430429,27329,11,1427406,9989128,1
430430,30662,13,1386208,10491889,1
430431,29357,12,1461822,10425164,1
430432,27622,11,1449935,10086414,1
430433,29835,13,1416594,10267118,1
430434,30761,13,1379160,10621203,1
430435,29498,12,1375520,10389635,1
430436,29394,12,1315130,10231775,1
430437,30454,13,1341710,10434145,1
430438,24653,10,1294557,9380737,2
430439,33399,14,1378653,10808013,3
430440,30266,12,1434398,10433222,3
430441,34106,14,1377168,11061017,3
430442,27210,12,1293803,9958713,4
430443,30723,12,1343491,10500641,5
430444,28611,12,1388759,10117559,6
430445,28542,12,1361329,10115541,7
430446,28007,12,1443033,10211759,6
430447,24832,10,1353209,9610796,4
430448,31742,13,1404346,10823510,3
430449,31988,13,1419896,10629986,3
430450,25665,11,1296097,9716665,2
430451,29071,12,1360534,10303215,1
430452,28725,12,1362123,10079403,1
430453,27903,11,1360529,9908378,1
430454,28254,12,1396637,10322474,1
430455,28574,12,1422084,10106283,1
430456,27497,11,1430464,10018146,1
430457,26615,11,1431535,9766425,1
430458,26504,11,1450278,9768292,1
430459,25623,11,1360800,9584568,1
430460,26988,11,1395795,9807795,1
430461,23248,10,1334423,9128965,2
430462,31562,13,1436837,10640590,3
430463,33140,13,1321073,10729750,3
430464,33015,14,1424995,11081027,3
430465,24667,10,1331780,9564985,4
430466,29446,13,1361647,10192465,5
430467,27606,11,1425979,10013966,6
430468,27041,11,1500940,10267483,7
430470,24806,10,1387391,9700651,4
430473,23072,9,1426896,9438585,2
430474,26686,11,1434557,9929410,1
430475,26050,11,1425163,9597727,1
430476,25788,11,1390503,9368980,1
430477,24865,10,1468292,9524549,1
430478,24473,10,1439905,9290633,1
430479,23808,10,1404473,9148611,1
430480,24804,10,1370332,9247709,1
430481,24620,10,1373458,9211503,1
430482,25062,11,1451062,9500296,1
430483,26555,11,1379329,9699317,1
430484,23025,9,1356520,9252864,2
430485,31247,13,1398321,10489519,3
430486,32113,13,1403232,10757789,3
430487,30531,13,1408710,10465834,3
430488,26273,11,1272858,9754872,4
430489,28641,12,1425550,10169711,5
430490,27420,11,1351273,9816619,6
430491,26393,11,1417589,9667634,7
430492,27444,11,1345471,9871397,6
430493,23120,10,1317600,9288069,4
430494,31042,13,1391200,10370342,3
430495,31966,13,1414184,10640161,3
430496,24085,10,1276697,9318285,2
430497,28169,12,1343052,10060899,1
430498,29118,12,1416910,10231185,1
430499,27872,11,1378145,9898070,1
430500,28174,12,1396040,10133072,1
430501,28621,12,1363055,10282385,1
430502,27185,11,1361201,9838985,1
430503,28540,12,1400538,10175408,1
430504,29232,12,1346669,10124491,1
430505,28983,12,1359944,10292395,1
430506,28468,12,1343913,9978795,1
430507,23791,10,1287777,9099214,2
430508,30981,12,1422796,10508223,3
430509,32287,14,1330609,10472045,3
430510,30709,13,1360434,10138905,3
430511,24961,10,1271134,9310447,4
430512,29816,12,1354841,10373429,5
430513,29294,12,1352982,10376843,6
430514,26976,12,1409047,9913145,7
430515,29438,12,1365216,10480945,6
430516,25299,10,1305836,9705598,4
430517,35186,15,1321975,11138890,3
430518,33088,13,1351376,10655661,3
430519,25700,11,1310543,9686407,2
430520,27275,11,1386476,9906694,1
430521,26873,12,1324408,9686495,1
430522,25755,10,1389210,9460706,1
430523,26589,11,1374703,9681116,1
430524,26295,11,1438444,9792647,1
430525,28478,12,1376458,9885396,1
430526,27381,11,1450254,10000636,1
430529,26039,11,1377472,9695056,1
430530,23604,10,1337424,9279259,2
430531,31209,13,1388082,10508371,3
430532,30564,12,1460071,10341842,3
430533,27402,12,1472597,9817421,3
430534,21583,8,1403424,9061886,4
430535,26916,12,1482260,9739590,5
430536,27153,11,1413171,9775564,6
430537,25783,11,1426258,9492962,7
430538,26717,11,1389652,9668255,6
430539,22861,9,1340615,9044220,4
430540,32254,13,1384722,10704802,3
430541,33651,14,1315270,10890854,3
430542,26093,11,1327457,9873416,2
430543,29734,13,1372356,10559285,1
430544,30281,12,1351728,10533672,1
430545,28906,12,1413692,10417100,1
430546,28676,12,1305117,10011056,1
430547,28322,12,1427303,10229238,1
430548,27590,11,1418988,9944603,1
430549,28633,12,1421396,10058291,1
430550,29365,12,1443792,10364362,1
430551,28747,12,1430466,10404862,1
430553,26877,11,1379253,10041216,2
430554,32180,13,1477562,10881136,3
430555,33573,14,1465513,11053495,3
430556,35248,15,1448392,11294934,3
430557,26254,11,1430818,10101391,4
430558,32533,13,1396567,10957183,5
430559,31243,13,1467947,10847398,6
430560,29590,12,1417920,10478174,7
430561,29009,12,1459765,10529896,6
430565,25485,11,1413612,9883091,2
430569,29533,13,1466582,10603788,1
430573,28750,12,1499503,10484075,1
430574,27050,11,1514688,10072098,1
430576,24196,10,1392905,9389508,2
430578,31609,14,1613447,10902971,3
430579,29669,12,1570209,10471836,3
430580,22153,9,1414019,9135842,4
430581,27122,11,1505879,10056867,5
430582,26655,11,1368852,9594857,6
430583,26988,12,1492456,10082322,7
430584,29439,12,1468001,10504766,6
430585,25620,10,1345312,9807247,4
430586,32702,14,1444930,11070784,3
430587,33676,14,1419412,11032590,3
430588,25354,10,1434430,9946958,2
430589,29639,13,1530589,10747043,1
430590,29093,12,1470169,10362064,1
430592,28565,11,1557468,10509608,1
430654,28698,12,1658765,11172803,4
430655,36624,15,1612226,12117159,3
430656,35662,15,1577200,11828067,3
430657,28099,11,1487942,10630298,2
430658,31337,13,1586829,11266179,1
430659,31753,13,1646133,11411409,1
430660,31105,13,1663876,11167896,1
430661,31289,13,1661957,11295168,1
430662,31276,13,1556929,11263911,1
430663,31856,13,1639086,11445057,1
430664,32442,14,1612421,11534891,1
430665,32464,13,1659401,11547589,1
430672,28758,12,1509971,10858122,4
430673,34270,14,1633438,11698135,5
430674,30794,13,1618786,11175796,6
430675,31972,13,1590208,11304658,7
430676,29200,12,1632792,10796834,6
430677,27828,12,1538200,10674067,4
430678,35150,14,1584221,11688354,3
430679,37301,16,1649261,12282180,3
430680,28053,12,1549889,10801978,2
430681,30666,12,1557360,11092253,1
430682,31004,13,1637510,11107532,1
430683,31508,13,1621005,11248004,1
430684,30443,13,1551418,10901078,1
430685,30104,12,1625097,11041740,1
430686,27374,12,1692105,10448180,1
430687,28066,11,1708720,10581209,1
430688,29186,12,1712565,10731027,1
430689,29466,13,1663683,10797980,1
430690,30157,12,1664039,10864890,1
430691,26546,11,1645191,10558555,2
430692,35474,15,1615680,11851018,3
430693,34421,14,1700385,11655347,3
430694,34669,14,1598751,11527871,3
430696,29023,12,1664195,10548539,5
430697,27559,12,1724550,10563680,6
430698,27909,11,1724133,10653478,7
430699,27056,12,1656539,10154447,6
430700,25328,10,1599290,10314082,4
430701,32526,13,1705444,11016282,3
430702,31820,14,1712690,11104281,3
430703,27567,11,1592256,10642428,2
430704,32027,13,1634831,11462611,1
430705,31076,13,1639364,11225459,1
430706,30496,13,1663444,11130601,1
430707,30717,13,1664459,11144342,1
430708,28886,12,1671194,10702446,1
430709,28715,11,1628722,10580763,1
430710,29697,13,1661599,10960358,1
430711,29224,12,1643220,10581809,1
430712,30573,12,1625093,10925228,1
430715,34350,14,1653619,11476326,3
430716,35469,14,1750508,11844771,3
430717,38145,16,1568896,12004725,3
430718,29108,12,1487407,10880495,4
430719,33036,14,1593243,11314986,5
430720,31542,13,1636726,11132274,6
430721,28989,12,1684818,10627619,7
430722,29209,12,1616305,10683433,6
430723,25518,11,1610179,10070180,4
430724,32251,13,1642705,10864995,3
430725,30271,13,1652137,10381799,3
430726,23727,9,1635696,9908569,2
430727,29024,13,1606198,10441479,1
430728,29107,12,1658224,10826720,1
430729,31626,13,1577078,11181862,1
430730,31089,13,1526171,11015024,1
430731,32837,13,1651032,11431575,1
430732,31260,13,1624439,11198751,1
430733,32315,13,1603176,11456453,1
430734,31369,13,1603578,11284899,1
430735,30789,13,1602469,11111669,1
430736,29802,13,1635157,10931950,1
430737,24755,10,1580752,10108583,2
430738,31194,13,1706427,10912482,3
430739,30662,13,1656031,10902651,3
430740,28787,11,1708334,10598239,3
430741,23335,10,1677533,9939810,4
430742,27690,12,1740991,10559609,5
430743,26593,11,1693504,10458129,6
430744,26346,11,1626489,10070208,7
430745,25548,10,1582830,9725508,6
430746,21859,9,1542893,9188991,4
430747,27613,12,1612970,10005595,3
430748,27065,11,1645190,10085592,3
430749,21511,9,1563828,9279921,2
430750,25165,10,1612166,9851496,1
430751,26676,11,1720438,10277982,1
430752,28014,12,1624053,10440882,1
430753,29761,12,1714731,10944867,1
430754,31996,13,1654481,11380991,1
430755,32237,14,1661148,11407085,1
430756,30870,12,1635669,11211282,1
430757,31085,13,1592474,11056190,1
430758,31356,13,1549855,11101830,1
430759,31467,13,1650821,11269389,1
430760,28646,12,1476220,10733034,2
430761,33037,14,1480835,11068961,3
430762,35439,15,1652291,11734662,3
430763,32225,13,1635679,11147151,3
430764,24600,10,1618950,10086550,4
430765,28884,12,1720582,10764127,5
430766,26728,11,1738898,10491529,6
430767,26133,11,1741469,10316264,7
430768,26012,11,1588662,9956440,6
430769,23685,10,1546752,9728619,4
430770,32551,13,1625717,11129883,3
430773,32703,13,1572763,11355501,1
430775,31946,13,1516734,11220454,1
430776,32611,14,1524101,11145183,1
430777,31499,13,1587539,11192278,1
430778,32765,13,1586616,11487246,1
430779,33140,14,1610792,11794070,1
430780,31418,13,1532184,11025278,1
430781,32434,14,1570052,11319118,1
430782,30334,12,1578816,10964047,1
430783,26506,11,1572834,10623694,2
430784,31729,13,1654086,11032806,3
430785,32097,14,1586228,10978955,3
430786,32041,13,1683550,11048889,3
430787,24113,10,1609918,9912256,4
430788,29273,12,1713063,10840830,5
