Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
dc56d0ea-6c62-4eb3-bec2-891e5124a186,2018-10-20 07:07:27,Running,,13.35,2:00:33,9:02,6.65,2057.0,721,,"","13.1. I did it.",2018-10-20-070727.gpx
1a3d5c43-308b-47a0-893b-51b3310d21e8,2018-10-16 18:55:20,Running,,1.84,21:05,11:27,5.24,277.0,32,,"","4 days till race say. Last brisk jog. Resting my foot until race day",2018-10-16-185520.gpx
28659dc6-05f4-4a1c-8209-cdbca616e924,2018-10-15 18:18:49,Running,,4.51,40:18,8:56,6.72,697.0,198,,"","5 days till race say. 4.5mi, Sub-9min/mi",2018-10-15-181849.gpx
228cf7db-dbf3-4e3a-bbf5-76df736ae6c7,2018-10-12 09:21:38,Running,,3.01,34:45,11:32,5.20,484.0,504,,"","Morning run up Mount Royal in Montreal, QC",2018-10-12-092138.gpx
fc4202c2-71f9-4f01-ba8e-0f2adb06df56,2018-10-07 10:35:22,Running,,3.12,29:21,9:24,6.38,470.0,139,,"","13.1 training, Week 25 Day 1. 5km run.",2018-10-07-103522.gpx
7d56e299-58a0-4990-a357-96072397f766,2018-10-04 18:01:02,Running,,3.00,28:10,9:23,6.39,447.0,0,,"","13.1 training, Week 24 Day 5. 3mi run.  Treadmill.",
ebd63a98-3bb9-4577-b333-064865a61981,2018-10-01 05:22:43,Running,,10.51,1:46:25,10:08,5.92,1581.0,440,,"","13.1 training, Week 24 Day 2. 10.5mi run. ""Race simulation""",2018-10-01-052243.gpx
057b813d-f12a-46a0-b7eb-dbcaf9fe39b2,2018-09-29 14:33:13,Running,,6.54,1:00:16,9:13,6.51,995.0,296,,"","13.1 training, Week 23 Day 7. 6.5mi run",2018-09-29-143313.gpx
1d428e6b-4f18-4494-970a-3171bd13886d,2018-09-27 18:10:55,Running,,3.00,27:30,9:10,6.55,451.0,0,,"","13.1 training, Week 23 Day 5. 3mi run, treadmill",
be229356-c900-48b5-abc7-16510c6d10b0,2018-09-25 17:56:33,Running,,8.50,1:24:49,9:58,6.02,1309.0,331,,"","13.1 training, Week 23 Day 3. 8.5mi run through Forest Park",2018-09-25-175633.gpx
de6e4952-f1c7-409c-bae1-93380575716b,2018-09-24 06:17:35,Running,,3.01,30:07,10:00,6.00,452.0,127,,"","",2018-09-24-061735.gpx
42dade68-e0c5-497d-9bdc-53cd240cc06a,2018-09-23 10:04:02,Running,,3.10,29:54,9:39,6.21,451.0,123,,"","13.1 training, Week 23 Day 1. 5k jog. with Carly riding her bike.",2018-09-23-100402.gpx
1235c6b7-43bf-4403-9da3-ec6531d2b5b4,2018-09-22 08:04:33,Running,,6.52,1:09:45,10:42,5.61,939.0,272,,"","13.1 training, Week 22 Day 7. 6.5mi jog.",2018-09-22-080433.gpx
8cdd484d-0c3b-46c4-ab52-6e078778f33e,2018-09-21 05:41:14,Running,,6.50,1:08:14,10:30,5.72,962.0,288,,"","13.1 training, Week 22 Day 6. 6.5mi jog.",2018-09-21-054114.gpx
