Weight (lb),Body Fat,Muscle Mass,Water,BMI,Date/Time
242.2,0%,0%,0%,32.8,Mar 09 2017 08:11:28 PM
241.8,0%,0%,0%,32.8,Mar 09 2017 08:41:09 PM
241.2,0%,0%,0%,32.7,Mar 09 2017 09:16:28 PM
236.8,28.8%,37.6%,52.5%,32.1,Mar 11 2017 08:33:01 AM
237.4,29.1%,37.4%,52.2%,32.2,Mar 10 2017 08:04:53 AM
236.8,29%,37.5%,52.3%,32.1,Mar 12 2017 08:45:39 AM
235.0,28.6%,37.7%,52.6%,31.9,Mar 15 2017 07:08:20 AM
236.6,28.9%,37.5%,52.4%,32.1,Mar 14 2017 07:54:38 AM
234.8,0%,0%,0%,31.8,Mar 16 2017 07:08:16 AM
235.2,28.4%,37.8%,52.7%,31.9,Mar 17 2017 07:01:35 AM
237.6,28.9%,37.5%,52.3%,32.2,Mar 23 2017 06:47:41 AM
238.4,29%,37.4%,52.2%,32.3,Mar 23 2017 06:46:01 AM
239.0,0%,0%,0%,32.4,Mar 18 2017 03:49:24 AM
237.0,28.9%,37.5%,52.3%,32.1,Mar 24 2017 06:45:09 AM
235.4,28.6%,37.6%,52.6%,31.9,Mar 25 2017 10:21:47 AM
235.4,28.6%,37.7%,52.6%,31.9,Mar 27 2017 06:44:17 AM
235.2,28.6%,37.7%,52.6%,31.9,Mar 26 2017 07:51:46 AM
233.6,28.4%,37.8%,52.8%,31.7,Mar 28 2017 06:59:54 AM
232.6,28.1%,38%,53%,31.5,Mar 29 2017 06:58:31 AM
232.2,28%,38%,53.1%,31.5,Mar 30 2017 06:59:53 AM
233.6,28.3%,37.8%,52.8%,31.7,Mar 31 2017 06:56:23 AM
233.6,28.4%,37.8%,52.8%,31.7,Apr 01 2017 07:15:23 AM
234.8,28.5%,37.7%,52.7%,31.8,Apr 04 2017 07:02:33 AM
234.4,28.3%,37.8%,52.8%,31.8,Apr 05 2017 06:39:57 AM
233.6,28.3%,37.8%,52.8%,31.7,Apr 06 2017 06:46:25 AM
233.0,28.1%,37.9%,53%,31.6,Apr 10 2017 06:57:40 AM
232.8,28.1%,37.9%,53%,31.6,Apr 11 2017 06:54:35 AM
233.0,28.2%,37.9%,52.9%,31.6,Apr 12 2017 06:30:13 AM
232.4,28%,38%,53%,31.5,Apr 13 2017 06:55:05 AM
230.8,27.8%,38.1%,53.2%,31.3,Apr 14 2017 06:51:59 AM
233.4,28%,38%,53%,31.7,Apr 17 2017 07:12:27 AM
231.4,27.5%,38.2%,53.4%,31.4,Apr 18 2017 07:03:00 AM
230.8,27.6%,38.2%,53.4%,31.3,Apr 19 2017 06:55:26 AM
230.8,27.4%,38.3%,53.5%,31.3,Apr 20 2017 06:51:58 AM
231.0,27.5%,38.2%,53.4%,31.3,Apr 21 2017 07:10:03 AM
230.2,27.5%,38.2%,53.4%,31.2,Apr 22 2017 07:33:48 AM
234.8,28.3%,37.8%,52.8%,31.8,Apr 23 2017 07:53:56 AM
231.0,27.7%,38.1%,53.3%,31.3,Apr 24 2017 06:59:18 AM
228.8,27.2%,38.4%,53.7%,31,Apr 25 2017 07:14:45 AM
226.6,26.8%,38.6%,54%,30.7,Apr 27 2017 07:07:10 AM
226.2,26.6%,38.7%,54.1%,30.7,Apr 28 2017 06:52:23 AM
230.2,27.5%,38.2%,53.4%,31.2,May 01 2017 06:47:54 AM
229.0,27.2%,38.4%,53.7%,31.1,May 02 2017 07:01:33 AM
227.0,26.9%,38.6%,53.9%,30.8,May 03 2017 06:59:15 AM
227.6,27%,38.5%,53.8%,30.9,May 04 2017 06:58:42 AM
228.8,27.2%,38.4%,53.6%,31,May 05 2017 07:03:05 AM
227.2,27%,38.5%,53.8%,30.8,May 06 2017 07:29:17 AM
228.2,27.1%,38.5%,53.8%,30.9,May 08 2017 06:49:15 AM
228.6,27%,38.5%,53.8%,31,May 09 2017 06:58:55 AM
227.2,26.8%,38.6%,54%,30.8,May 10 2017 06:59:49 AM
226.6,26.8%,38.6%,54%,30.7,May 11 2017 07:01:37 AM
226.4,26.6%,38.7%,54.1%,30.7,May 12 2017 06:59:44 AM
224.2,26.2%,38.9%,54.4%,30.4,May 15 2017 07:02:26 AM
223.6,26.1%,39%,54.5%,30.3,May 16 2017 07:42:08 AM
224.6,26.3%,38.9%,54.4%,30.5,May 17 2017 06:55:23 AM
226.4,26.7%,38.7%,54.1%,30.7,Jun 19 2017 06:41:22 AM
224.4,26.4%,38.8%,54.3%,30.4,Jun 20 2017 06:58:47 AM
224.0,26.4%,38.9%,54.4%,30.4,Jun 21 2017 06:29:00 AM
222.4,26.1%,39%,54.6%,30.2,Jun 22 2017 07:01:00 AM
222.0,26%,39.1%,54.6%,30.1,Jun 23 2017 06:35:24 AM
224.4,26.3%,38.9%,54.4%,30.4,Jun 26 2017 06:25:15 AM
223.8,26.3%,38.9%,54.4%,30.3,Jun 27 2017 06:57:49 AM
222.6,26.1%,39%,54.6%,30.2,Jun 28 2017 07:10:15 AM
222.0,26%,39.1%,54.7%,30.1,Jun 29 2017 06:59:24 AM
222.2,26%,39.1%,54.6%,30.1,Jun 30 2017 07:12:53 AM
223.8,26.2%,39%,54.4%,30.3,Jul 01 2017 06:49:32 AM
221.4,25.8%,39.2%,54.8%,30,Jul 02 2017 08:54:33 AM
223.2,26.1%,39%,54.5%,30.3,Jul 03 2017 07:19:08 AM
222.0,25.9%,39.1%,54.7%,30.1,Jul 04 2017 07:44:15 AM
223.2,26.1%,39%,54.6%,30.3,Jul 05 2017 07:20:05 AM
222.2,26%,39.1%,54.6%,30.1,Jul 06 2017 07:00:10 AM
223.6,25.9%,39.1%,54.7%,30.3,Jul 07 2017 07:21:36 AM
222.8,26.1%,39%,54.6%,30.2,Jul 08 2017 07:53:59 AM
224.2,26.3%,38.9%,54.4%,30.4,Jul 10 2017 07:15:00 AM
222.2,26%,39.1%,54.7%,30.1,Jul 11 2017 07:02:00 AM
221.0,25.4%,39.4%,55%,30,Jul 12 2017 07:29:07 AM
221.2,25.8%,39.2%,54.8%,30,Jul 13 2017 06:41:07 AM
225.4,26.6%,38.8%,54.2%,30.6,Jul 19 2017 06:58:35 AM
224.2,26.4%,38.8%,54.3%,30.4,Jul 20 2017 07:08:46 AM
223.6,26.3%,38.9%,54.4%,30.3,Jul 21 2017 06:04:00 AM
222.6,26%,39.1%,54.6%,30.2,Jul 22 2017 08:24:31 AM
223.8,26.1%,39%,54.5%,30.3,Jul 23 2017 06:15:26 AM
220.6,25.8%,39.2%,54.8%,29.9,Jul 24 2017 07:12:48 AM
220.6,25.7%,39.2%,54.8%,29.9,Jul 24 2017 07:11:41 AM
218.4,25.3%,39.5%,55.2%,29.6,Jul 25 2017 06:51:44 AM
219.2,25.4%,39.4%,55.1%,29.7,Jul 26 2017 06:41:02 AM
