Date,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Weight
2015-10-03,25.7,,,226.1
2015-10-04,,0.0,,
2015-10-05,,0.0,,
2015-10-06,,6204.0,,
2015-10-07,,5452.0,,
2015-10-08,,5644.0,,
2015-10-09,28.0,3355.0,,227.7
2015-10-10,,9498.0,,
2015-10-11,,5912.0,,
2015-10-12,,3839.0,,
2015-10-13,,2710.0,,
2015-10-14,27.5,5936.0,19.0,228.5
2015-10-15,,5515.0,,
2015-10-16,,7927.0,,
2015-10-17,,7036.0,,
2015-10-18,,5348.0,,
2015-10-19,27.9,1815.0,658.0,226.2
2015-10-20,27.5,0.0,38.0,226.3
2015-10-21,,3699.0,,
2015-10-22,,5437.0,,
2015-10-23,,6411.0,,
2015-10-24,,1159.0,,
2015-10-25,,6692.0,,
2015-10-26,27.4,3583.0,,227.8
2015-10-27,,2651.0,,
2015-10-28,,2875.0,,
2015-10-29,27.1,3013.0,,227.3
2015-10-30,,4922.0,588.0,
2015-10-31,,0.0,,
2015-11-01,,0.0,,
2015-11-02,27.2,,,228.0
2015-11-03,27.2,,,226.0
2015-11-06,27.2,,,227.0
2015-11-11,27.2,,,228.1
2015-11-30,27.2,,,226.7
2015-12-12,27.3,,,227.4
2016-01-05,16.8,,,231.2
2016-01-18,29.6,,,231.0
2016-01-26,28.8,,,231.6
2016-02-06,27.9,,,230.2
2016-02-12,26.9,,,227.7
2016-02-13,26.1,,,226.4
2016-02-16,27.4,,,231.0
2016-02-21,28.5,,,228.2
2016-02-22,,0.0,,
2016-02-23,,0.0,,
2016-02-24,,0.0,,
2016-02-25,27.9,0.0,,228.5
2016-02-26,,0.0,,
2016-02-27,,0.0,,
2016-02-28,,0.0,,
2016-02-29,,0.0,,228.5
2016-03-01,,0.0,,
2016-03-04,27.5,,,225.7
2016-03-10,27.6,,,227.3
2016-03-28,26.8,,,230.8
2016-04-17,26.0,,,230.6
2016-06-30,,0.0,,
2016-07-01,,0.0,,
2016-07-02,,0.0,,
2016-07-03,,0.0,,
2016-07-04,,0.0,,
2016-07-05,,0.0,,
2016-07-06,,0.0,,
2016-07-07,,0.0,,
2016-07-08,,2996.0,,
2016-07-09,,8090.0,,
2016-07-10,,7194.0,,
2016-07-11,,2443.0,,
2016-07-12,,5698.0,,
2016-07-13,,10930.0,,
2016-07-14,,9823.0,445.0,
2016-07-15,,9243.0,,
2016-07-16,,10695.0,,
2016-07-17,,11501.0,,
2016-07-18,,9159.0,,
2016-07-19,,7423.0,455.0,
2016-07-20,,5518.0,,
2016-07-21,,12268.0,,
2016-07-22,,17876.0,,
2016-07-23,,13242.0,,
2016-07-24,,12757.0,,
2016-07-25,,7898.0,,
2016-07-26,,2057.0,474.0,
2016-07-27,,4926.0,,
2016-07-28,,2272.0,103.0,
2016-07-29,,11708.0,,
2016-07-30,,2139.0,308.0,
2016-07-31,,2799.0,,
2016-08-01,,7259.0,,
2016-08-02,,6250.0,454.0,
2016-08-03,,6440.0,297.0,
2016-08-04,,9998.0,481.0,
2016-08-05,,8234.0,500.0,
2016-08-06,,10990.0,,
2016-08-07,,14138.0,531.0,
2016-08-08,,7763.0,,
2016-08-09,,4101.0,490.0,
2016-08-10,,12300.0,,
2016-08-11,,8137.0,500.0,
2016-08-12,,2098.0,,
2016-08-13,,12824.0,346.0,
2016-08-14,,8332.0,460.0,
2016-08-15,,3438.0,,
2016-08-16,,8716.0,477.0,
2016-08-17,,4908.0,219.0,
2016-08-18,,3981.0,462.0,
2016-08-19,,4283.0,430.0,
2016-08-20,,13865.0,495.0,
2016-08-21,,11397.0,420.0,
2016-08-22,,4094.0,,
2016-08-23,,7196.0,489.0,
2016-08-24,,11252.0,423.0,
2016-08-25,,0.0,,
2016-08-26,,7207.0,,
2016-08-27,,0.0,,
2016-08-28,,11801.0,,
2016-08-29,,2730.0,604.0,
2016-08-30,,2369.0,,
2016-08-31,,5499.0,,
2016-09-01,,7502.0,,
2016-09-02,,4842.0,468.0,
2016-09-03,,15424.0,396.0,
2016-09-04,,7324.0,451.0,
2016-09-05,,12673.0,382.0,
2016-09-06,,4570.0,,
2016-09-07,,749.0,,
2016-09-08,,1195.0,,
2016-09-09,,0.0,,
2016-09-10,,0.0,,
2016-09-11,,4963.0,,
2016-09-12,,9609.0,,
2016-09-13,,0.0,,
2016-09-14,,2968.0,,
2016-09-15,,3456.0,,
2016-09-16,,6358.0,433.0,
2016-09-17,,108.0,,
2016-09-18,,0.0,,
2016-09-19,,5121.0,,
2016-09-20,,7657.0,342.0,
2016-09-21,,7391.0,,
2016-09-22,,4217.0,508.0,
2016-09-23,,3115.0,512.0,
2016-09-24,,4982.0,,
2016-09-25,,9277.0,488.0,
2016-09-26,,4449.0,,
2016-09-27,,3462.0,450.0,
2016-09-28,,8089.0,512.0,
2016-09-29,,3795.0,,
