,Date,Name,Description,Distance,Pace,Duration,Pace_min,Duration_min,Tracker
127,2017-05-01 18:55:35,,,1.78,10:34,18:47,10.566666666666666,18.783333333333335,Runkeeper
126,2017-05-02 18:43:20,,,3.01,10:55,32:51,10.916666666666666,32.85,Runkeeper
125,2017-05-08 18:41:56,Chris,,2.66,9:41,25:43,9.683333333333334,25.716666666666665,Runkeeper
124,2017-05-10 06:28:09,,,1.77,11:29,20:20,11.483333333333333,20.333333333333332,Runkeeper
123,2017-05-14 17:37:28,,,2.73,11:02,30:09,11.033333333333333,30.15,Runkeeper
122,2017-05-16 07:09:22,,,1.94,10:48,20:56,10.8,20.933333333333334,Runkeeper
121,2017-05-21 06:43:37,,,2.2,11:01,24:17,11.016666666666667,24.283333333333335,Runkeeper
120,2017-05-22 06:54:58,,,0.7,11:27,8:03,11.45,8.05,Runkeeper
119,2017-05-22 07:04:35,,,0.6,10:36,6:23,10.6,6.383333333333334,Runkeeper
118,2017-06-13 18:23:28,,,1.65,10:38,17:32,10.633333333333333,17.533333333333335,Runkeeper
117,2017-07-12 06:34:36,,,1.47,10:21,15:15,10.35,15.25,Runkeeper
116,2017-08-18 06:44:35,,,1.2,10:50,12:58,10.833333333333334,12.966666666666667,Runkeeper
115,2017-08-23 06:25:32,Hit my head on tree,,2.12,11:02,23:26,11.033333333333333,23.433333333333334,Runkeeper
114,2017-08-25 06:31:20,,,1.89,11:23,21:31,11.383333333333333,21.516666666666666,Runkeeper
113,2017-08-26 15:01:48,,,1.6,10:21,16:34,10.35,16.566666666666666,Runkeeper
112,2017-09-15 05:57:02,,,2.44,9:56,24:14,9.933333333333334,24.233333333333334,Runkeeper
111,2017-09-16 08:31:26,,,2.42,10:25,25:10,10.416666666666666,25.166666666666668,Runkeeper
110,2017-09-19 06:31:52,,,2.44,10:28,25:32,10.466666666666667,25.533333333333335,Runkeeper
109,2017-09-21 06:22:34,,,2.42,10:19,25:01,10.316666666666666,25.016666666666666,Runkeeper
108,2017-09-22 06:10:47,,,2.69,10:19,27:43,10.316666666666666,27.716666666666665,Runkeeper
107,2017-09-25 06:21:49,,,2.0,10:57,21:54,10.95,21.9,Runkeeper
106,2017-09-26 06:43:51,,,1.89,10:45,20:18,10.75,20.3,Runkeeper
105,2017-09-29 06:39:20,,,1.64,9:18,15:18,9.3,15.3,Runkeeper
104,2017-10-01 08:31:56,,,3.14,9:42,30:26,9.7,30.433333333333334,Runkeeper
103,2017-10-02 06:20:43,,,2.68,10:15,27:30,10.25,27.5,Runkeeper
102,2017-10-03 06:23:57,,,3.69,10:17,37:55,10.283333333333333,37.916666666666664,Runkeeper
101,2017-10-04 06:22:52,,,1.91,10:36,20:14,10.6,20.233333333333334,Runkeeper
100,2017-10-06 06:41:50,,,2.0,10:06,20:11,10.1,20.183333333333334,Runkeeper
99,2017-10-08 10:23:19,,,4.29,9:53,42:21,9.883333333333333,42.35,Runkeeper
98,2017-10-09 06:29:39,,,2.37,10:15,24:15,10.25,24.25,Runkeeper
97,2017-10-10 06:28:38,,,1.59,15:03,23:56,15.05,23.933333333333334,Runkeeper
96,2017-10-11 06:11:35,,,3.17,10:18,32:39,10.3,32.65,Runkeeper
95,2017-10-13 06:25:28,,,3.14,10:22,32:32,10.366666666666667,32.53333333333333,Runkeeper
94,2017-10-15 15:19:08,,,1.43,10:56,15:37,10.933333333333334,15.616666666666667,Runkeeper
93,2017-10-17 06:14:41,,,3.49,10:03,35:05,10.05,35.083333333333336,Runkeeper
