Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1934964379,"Oct 29, 2018, 11:59:33 PM","Monday night jog, 9 days after 13.1",Run,"Monday night jog, 9 days after 13.1",2425,7.18,,false,,activities/1934964379.gpx
1952341289,"Nov 8, 2018, 1:56:59 AM",Wednesday night after happy hour at Webber. Stomach too full... Ow.,Run,,1965,4.29,,false,,activities/1952341289.gpx
1954658661,"Nov 9, 2018, 12:08:00 PM",34° Friday morning run. Long run tomorrow.,Run,,1464,4.07,,false,,activities/1954658661.gpx
1958999898,"Nov 11, 2018, 3:09:44 PM",Sunday morning 4.5mi. Paws with a Cause 10k going on at same time. Many good boys.,Run,,2598,7.31,,false,,activities/1958999898.gpx
1972499359,"Nov 18, 2018, 5:00:44 PM",Mililani Morning Run,Run,"",4901,13.03,,false,,activities/1972499359.gpx
1975758511,"Nov 20, 2018, 6:16:04 PM",Morning run in Mililani,Run,,2797,7.48,,false,,activities/1975758511.gpx
1978070434,"Nov 22, 2018, 12:34:59 AM",Wednesday afternoon walk/run with Carly,Walk,"",2227,4.00,,false,,activities/1978070434.gpx
1982687337,"Nov 24, 2018, 5:44:13 PM",Saturday morning in Mililani,Run,,2902,7.65,,false,,activities/1982687337.gpx
2002460863,"Dec 6, 2018, 12:15:09 AM",Light evening jog with Carly,Run,Jog with Carly,1139,2.40,,false,,activities/2140507906.tcx.gz
2006589285,"Dec 8, 2018, 2:17:58 PM",Saturday morning,Run,"25°F, finished ""Eat & Run"" by Scott Jurek",3093,9.48,,false,,activities/2144757959.tcx.gz
2009306642,"Dec 9, 2018, 10:06:13 PM",Sunday sunset jog with Carly,Run,"35°F, walk/run",1667,3.44,0,false,,activities/2147596675.tcx.gz
2020199952,"Dec 16, 2018, 1:56:43 PM",Sunday run with Ali,Run,Talked about KT82,2983,8.65,8,false,,activities/2159014597.tcx.gz
2023421671,"Dec 18, 2018, 2:48:41 PM",Quick morning jaunt,Run,"",1538,4.77,38,false,,activities/2162410681.tcx.gz
2025108630,"Dec 19, 2018, 2:45:33 PM",Wednesday morning run,Run,Getting back into daily running condition.,2293,6.82,6,false,,activities/2164180184.tcx.gz
2031802636,"Dec 23, 2018, 2:55:03 PM",Sunday Morning double loop around TGP+MoBot,Run,Listening to Ultra Marathon Man,4633,13.81,15,false,,activities/2171212855.tcx.gz
2033411282,"Dec 24, 2018, 2:27:27 PM",Christmas Eve morning run. 32°F,Run,Listening to Ultra Marathon Man. The part about the Western States 100.,2414,7.03,32,false,,activities/2172885074.tcx.gz
2034765387,"Dec 25, 2018, 1:16:29 PM",Merry Christmas! 37°F,Run,"Listening to Ultra Marathon Man, chapters on his Bad Water 100mi failure, and the marathon to the South Pole.",2337,6.73,,false,,activities/2174313284.tcx.gz
2036778348,"Dec 26, 2018, 3:49:42 PM",First holiday home alone run. 39°F.,Run,"Finished Ultra Marathon Man by Dean Karnazes, inspired to run a double loop on a different path instead of just a single loop.",4944,14.51,17,false,,activities/2176443836.tcx.gz
2040296670,"Dec 28, 2018, 2:48:21 PM","5k before heading up to Chicago. 33°F, very windy.",Run,Listening to The Silver Hand by Stephen Lawhead,1800,5.01,52,false,,activities/2180127633.tcx.gz
2044856787,"Dec 30, 2018, 4:53:34 PM","Country Roooooad, Take Me Hoooome",Run,26°F and blustery windy out. Last run off 2018.,1729,5.05,26,false,,activities/2184987960.tcx.gz
2048760950,"Jan 1, 2019, 3:26:30 PM",Happy 2019!,Run,"Lake Michigan, Boys Town, and Wrigley Field. 36°F, icy, windy, flurries.",4542,12.99,,false,,activities/2048760950.gpx
2052563445,"Jan 3, 2019, 12:14:10 PM","Sunrise Run. 27°F, still.",Run,Listening to The Endless Knot.,2553,7.43,,false,,activities/2193190911.tcx.gz
2056016055,"Jan 5, 2019, 12:06:49 AM",Evening run before Ashley's birthday dinner. 41°F.,Run,Listening to Relentless Forward Progress.,2570,7.69,,false,,activities/2056016055.gpx
2057393935,"Jan 5, 2019, 2:12:48 PM","Sunny Saturday Morning, 37°F, before hiking with Carly.",Run,Finished listening to Relentless Forward Progress,3899,11.58,171,false,,activities/2198264766.tcx.gz
2060065107,"Jan 6, 2019, 2:30:07 PM","Well, it was actually 58min and about 6mi, but okay, Strava.",Run,Running with Ali,2088,5.95,1,false,,activities/2201076505.tcx.gz
