,Date,Weight
0,2015-10-03 00:00:00,226.1
6,2015-10-09 00:00:00,227.7
11,2015-10-14 00:00:00,228.5
16,2015-10-19 00:00:00,226.2
17,2015-10-20 00:00:00,226.3
23,2015-10-26 00:00:00,227.8
26,2015-10-29 00:00:00,227.3
30,2015-11-02 00:00:00,228.0
31,2015-11-03 00:00:00,226.0
32,2015-11-06 00:00:00,227.0
33,2015-11-11 00:00:00,228.1
34,2015-11-30 00:00:00,226.7
35,2015-12-12 00:00:00,227.4
36,2016-01-05 00:00:00,231.2
37,2016-01-18 00:00:00,231.0
38,2016-01-26 00:00:00,231.6
39,2016-02-06 00:00:00,230.2
40,2016-02-12 00:00:00,227.7
41,2016-02-13 00:00:00,226.4
42,2016-02-16 00:00:00,231.0
43,2016-02-21 00:00:00,228.2
47,2016-02-25 00:00:00,228.5
51,2016-02-29 00:00:00,228.5
53,2016-03-04 00:00:00,225.7
54,2016-03-10 00:00:00,227.3
55,2016-03-28 00:00:00,230.8
56,2016-04-17 00:00:00,230.6
149,2016-09-30 00:00:00,235.0
293,2017-02-21 00:00:00,235.0
301,2017-03-01 00:00:00,239.9
303,2017-03-03 00:00:00,240.0
309,2017-03-09 00:00:00,241.2
0,2017-03-09 20:11:28,242.2
1,2017-03-09 20:41:09,241.8
2,2017-03-09 21:16:28,241.2
4,2017-03-10 08:04:53,237.4
3,2017-03-11 08:33:01,236.8
5,2017-03-12 08:45:39,236.8
7,2017-03-14 07:54:38,236.6
6,2017-03-15 07:08:20,235.0
8,2017-03-16 07:08:16,234.8
9,2017-03-17 07:01:35,235.2
12,2017-03-18 03:49:24,239.0
11,2017-03-23 06:46:01,238.4
10,2017-03-23 06:47:41,237.6
13,2017-03-24 06:45:09,237.0
14,2017-03-25 10:21:47,235.4
16,2017-03-26 07:51:46,235.2
15,2017-03-27 06:44:17,235.4
17,2017-03-28 06:59:54,233.6
18,2017-03-29 06:58:31,232.6
19,2017-03-30 06:59:53,232.2
20,2017-03-31 06:56:23,233.6
21,2017-04-01 07:15:23,233.6
22,2017-04-04 07:02:33,234.8
23,2017-04-05 06:39:57,234.4
24,2017-04-06 06:46:25,233.6
25,2017-04-10 06:57:40,233.0
26,2017-04-11 06:54:35,232.8
27,2017-04-12 06:30:13,233.0
28,2017-04-13 06:55:05,232.4
29,2017-04-14 06:51:59,230.8
30,2017-04-17 07:12:27,233.4
31,2017-04-18 07:03:00,231.4
32,2017-04-19 06:55:26,230.8
33,2017-04-20 06:51:58,230.8
34,2017-04-21 07:10:03,231.0
35,2017-04-22 07:33:48,230.2
36,2017-04-23 07:53:56,234.8
37,2017-04-24 06:59:18,231.0
38,2017-04-25 07:14:45,228.8
39,2017-04-27 07:07:10,226.6
40,2017-04-28 06:52:23,226.2
41,2017-05-01 06:47:54,230.2
42,2017-05-02 07:01:33,229.0
43,2017-05-03 06:59:15,227.0
44,2017-05-04 06:58:42,227.6
45,2017-05-05 07:03:05,228.8
46,2017-05-06 07:29:17,227.2
47,2017-05-08 06:49:15,228.2
48,2017-05-09 06:58:55,228.6
49,2017-05-10 06:59:49,227.2
50,2017-05-11 07:01:37,226.6
51,2017-05-12 06:59:44,226.4
52,2017-05-15 07:02:26,224.2
53,2017-05-16 07:42:08,223.6
54,2017-05-17 06:55:23,224.6
55,2017-06-19 06:41:22,226.4
56,2017-06-20 06:58:47,224.4
57,2017-06-21 06:29:00,224.0
58,2017-06-22 07:01:00,222.4
59,2017-06-23 06:35:24,222.0
60,2017-06-26 06:25:15,224.4
61,2017-06-27 06:57:49,223.8
62,2017-06-28 07:10:15,222.6
63,2017-06-29 06:59:24,222.0
64,2017-06-30 07:12:53,222.2
65,2017-07-01 06:49:32,223.8
66,2017-07-02 08:54:33,221.4
67,2017-07-03 07:19:08,223.2
68,2017-07-04 07:44:15,222.0
69,2017-07-05 07:20:05,223.2
70,2017-07-06 07:00:10,222.2
71,2017-07-07 07:21:36,223.6
72,2017-07-08 07:53:59,222.8
73,2017-07-10 07:15:00,224.2
74,2017-07-11 07:02:00,222.2
75,2017-07-12 07:29:07,221.0
76,2017-07-13 06:41:07,221.2
77,2017-07-19 06:58:35,225.4
78,2017-07-20 07:08:46,224.2
79,2017-07-21 06:04:00,223.6
80,2017-07-22 08:24:31,222.6
81,2017-07-23 06:15:26,223.8
83,2017-07-24 07:11:41,220.6
82,2017-07-24 07:12:48,220.6
84,2017-07-25 06:51:44,218.4
85,2017-07-26 06:41:02,219.2
86,2017-07-27 06:42:52,219.2
87,2017-07-28 06:52:20,220.0
88,2017-07-29 07:39:33,221.0
89,2017-07-30 09:02:07,220.6
90,2017-07-31 07:01:19,221.4
91,2017-08-02 06:53:26,219.2
92,2017-08-03 06:56:52,221.0
93,2017-08-04 06:51:31,219.8
94,2017-08-05 08:16:51,218.4
95,2017-08-06 09:47:45,218.0
96,2017-08-07 06:55:57,219.8
97,2017-08-08 06:35:17,219.4
